id,Name,TotalVotes,Percentage
7,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
7,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
7,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,0,0
7,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
7,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
7,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
7,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
7,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
7,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
7,NIKOLA SUVAJAC - NS,0,0
7,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
7,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
7,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
7,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
7,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
7,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
7,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
7,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
7,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
7,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
7,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
7,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
7,ALEN POPOVIĆ - NOVO DOBA,0,0
8,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,204,52.17
8,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,148,37.85
8,SENAD BRATIĆ - POKRET DRŽAVA,23,5.88
8,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,4,1.02
8,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,3,0.77
8,BEGIĆ IVAN - NEZAVISNI KANDIDAT,2,0.51
8,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,1,0.26
8,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,1,0.26
8,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.26
8,ALEN POPOVIĆ - NOVO DOBA,1,0.26
8,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,1,0.26
8,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,1,0.26
8,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,1,0.26
8,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
8,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
8,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
8,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
8,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,0,0
8,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,0,0
8,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,0,0
8,NIKOLA SUVAJAC - NS,0,0
8,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
8,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
8,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
8,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
