id,Name,TotalVotes,Percentage
7,POKRET ZA DRŽAVU,13,4.96
7,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,10,3.82
7,UJEDINJENA SRPSKA,8,3.05
7,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,4,1.53
7,DEMOKRATSKI SAVEZ-DEMOS,3,1.15
7,PNP - POTKOZARSKI NARODNI POKRET,3,1.15
7,DNS-DEMOKRATSKI NARODNI SAVEZ,2,0.76
7,ZA DRŽAVU BIH,1,0.38
7,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.38
7,SRPSKA NAPREDNA STRANKA FBIH,1,0.38
7,STRANKA ŽIVOT,0,0
7,OTADŽBINSKA STRANKA,0,0
7,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
7,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
7,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
7,SLOBODNA STRANKA SRPSKE,0,0
7,SELJAČKA STRANKA,0,0
7,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
7,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
7,RADNIČKA PARTIJA,0,0
7,SAVEZ ZA NOVU POLITIKU,0,0
7,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
8,PDP - PARTIJA DEMOKRATSKOG PROGRESA,113,29.89
8,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,98,25.93
8,SDS-SRPSKA DEMOKRATSKA STRANKA,55,14.55
8,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,22,5.82
8,POKRET ZA DRŽAVU,22,5.82
8,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,19,5.03
8,UJEDINJENA SRPSKA,13,3.44
8,ZA DRŽAVU BIH,12,3.17
8,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,11,2.91
8,PNP - POTKOZARSKI NARODNI POKRET,5,1.32
8,DNS-DEMOKRATSKI NARODNI SAVEZ,4,1.06
8,RADNIČKA PARTIJA,3,0.79
8,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.26
8,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
8,STRANKA ŽIVOT,0,0
8,OTADŽBINSKA STRANKA,0,0
8,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
8,SRPSKA NAPREDNA STRANKA FBIH,0,0
8,SLOBODNA STRANKA SRPSKE,0,0
8,SAVEZ ZA NOVU POLITIKU,0,0
8,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
8,DEMOKRATSKI SAVEZ-DEMOS,0,0
8,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
8,SELJAČKA STRANKA,0,0
8,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
8,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
10,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,71,25.63
10,PDP - PARTIJA DEMOKRATSKOG PROGRESA,59,21.3
10,POKRET ZA DRŽAVU,50,18.05
10,SDS-SRPSKA DEMOKRATSKA STRANKA,34,12.27
10,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,20,7.22
10,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,17,6.14
10,ZA DRŽAVU BIH,12,4.33
10,DNS-DEMOKRATSKI NARODNI SAVEZ,4,1.44
10,UJEDINJENA SRPSKA,4,1.44
10,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,2,0.72
10,PNP - POTKOZARSKI NARODNI POKRET,2,0.72
10,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.36
10,PARTIJA UJEDINJENIH PENZIONERA (PUP),1,0.36
10,SLOBODNA STRANKA SRPSKE,0,0
10,SELJAČKA STRANKA,0,0
10,DEMOKRATSKI SAVEZ-DEMOS,0,0
